poi;170431
lard;171401
miso;172442
papad;168106
honey;169640
natto;172443
okara;172452
catsup;168556
eggnog;171258
wasabi;171831
tempeh;174272
jellies;169642
molasses;168820
yam raw;170071
zwieback;171372
oil oat;173576
kale raw;168421
rye grain;168884
okra raw;169260
taro raw;169308
triticale;169718
dock raw;170076
buckwheat;170286
oil palm;171015
figs raw;173021
rowal raw;167783
limes raw;168155
pears raw;169118
beets raw;169145
cornstarch;169698
plums raw;169949
eppaw raw;170078
fish broth;171606
bread rye;172684
clif z bar;173477
fat goose;173572
pie peach;175020
tofu yogurt;167722
syrup cane;167743
prune puree;167780
fruit syrup;167953
jujube raw;168151
feijoa raw;168176
endive raw;168412
chewing gum;168771
garlic raw;169230
millet raw;169702
mangos raw;169910
celery raw;169988
chives raw;169994
onions raw;170000
borage raw;170481
bulgur dry;170688
oil walnut;171030
oil almond;171031
oil canola;172336
tofu fried;172451
salt table;173468
fat turkey;173571
carob flour;173755
ham minced;173865
bagels egg;174901
pummelo raw;167754
rhubarb raw;167758
soursop raw;167761
abiyuch raw;167782
quinces raw;168163
roselle raw;168170
potato flour;168446
pumpkin raw;168448
spinach raw;168462
nopales raw;168571
teff cooked;168918
litchis raw;169086
longans raw;169089
arugula raw;169387
epazote raw;169398
syrups malt;169660
wheat durum;169721
loquats raw;169908
papayas raw;169926
cabbage raw;169975
cardoon raw;169981
cassava raw;169985
celtuce raw;169990
nuts pecans;170182
kfc biscuit;170339
carrots raw;170393
turnips raw;170465
oil coconut;171412
oil teaseed;171425
oil babassu;171428
oil sheanut;171429
millet flour;172023
cheese blue;172175
cheese brie;172177
basil fresh;172232
oil mustard;172337
lentils raw;172420
bread wheat;172686
phyllo dough;172791
cheese edam;173419
cheese feta;173420
thyme fresh;173470
fat chicken;173564
oil avocado;173573
fish surimi;173702
bananas raw;173944
bagels wheat;167533
candied fruit;167781
baobab powder;167806
bread potato;167943
bread cheese;167944
candies hard;167990
kumquats raw;168154
pepeao dried;168418
kohlrabi raw;168424
sugars brown;168833
oat bran raw;168872
eggplant raw;169228
purslane raw;169274
radishes raw;169276
sugars maple;169658
syrups maple;169661
couscous dry;169699
sorghum grain;169716
spelt cooked;169746
kfc coleslaw;170340
broccoli raw;170379
celeriac raw;170400
collards raw;170406
parsnips raw;170417
tomato powder;170461
shallots raw;170499
nuts almonds;170567
cheese gouda;171241
cheese swiss;171251
oil hazelnut;171427
blood sausage;171618
apricots raw;171697
bologna beef;172012
cheese brick;172176
cracker meal;172750
rolls french;172795
rice crackers;173161
cheese colby;173416
cheese cream;173418
bologna pork;173856
meat extender;174268
pectin liquid;167682
millet puffed;167724
sapodilla raw;167759
tamarinds raw;167763
frog legs raw;168148
dates medjool;168191
asparagus raw;168389
rutabagas raw;168454
arrowroot raw;168490
radicchio raw;168564
millet cooked;168871
quinoa cooked;168917
pretzels soft;169064
litchis dried;169087
arrowhead raw;169203
cornsalad raw;169219
wild rice raw;169726
teff uncooked;169747
longans dried;169907
barley hulled;170283
bulgur cooked;170287
parsley fresh;170416
cheese tilsit;170852
oil rice bran;171013
oil grapeseed;171028
cheese romano;171249
oil poppyseed;171423
capers canned;172238
tempeh cooked;172467
bread oatmeal;172678
scrapple pork;172969
butter salted;173410
dulce de leche;173461
vinegar cider;173469
oil cupu assu;173563
chicken spread;173858
cherimoya raw;173953
jackfruit raw;174687
bread italian;174913
crackers milk;174980
strudel apple;175032
sherbet orange;167577
lemon peel raw;167749
watermelon raw;167765
lime juice raw;168156
raisins seeded;168166
pimento canned;168559
tomatillos raw;168566
rye flour dark;168885
lotus root raw;169250
seeds flaxseed;169414
syrups sorghum;169662
wheat sprouted;169725
spelt uncooked;169745
mulberries raw;169913
nectarines raw;169914
watercress raw;170068
potato pancakes;170092
cabbage kimchi;170392
spinach souffle;170494
arrowroot flour;170684
cheese fontina;170843
spices saffron;170934
oil wheat germ;171014
cheese gjetost;171240
cheese gruyere;171242
spices paprika;171329
oil tomatoseed;171424
breadfruit raw;171714
crabapples raw;171721
bread cinnamon;171849
fish carp raw;171952
fish cusk raw;171958
bacon meatless;172439
bread oat bran;172676
croutons plain;172751
cheese caraway;173413
vanilla extract;173471
rosemary fresh;173473
fish ling raw;173670
fish spot raw;173700
bologna turkey;173857
sauce barbecue;174523
fish scup raw;175141
tamales navajo167636
lemon juice raw;167747
raspberries raw;167755
rose apples raw;168171
clementines raw;168195
taro leaves raw;168487
taro shoots raw;168489
oat bran cooked;168873
quinoa uncooked;168874
rye flour light;168887
orange peel raw;169103
ginger root raw;169231
sugars powdered;169656
couscous cooked;169700
rice bran crude;169713
cauliflower raw;169986
corn bran crude;170289
beet greens raw;170375
peas green raw;170419
sugar turbinado;170674
cheese monterey;170844
spices bay leaf;170917
spices cardamom;170919
cheese muenster;171245
fat beef tallow;171400
headcheese pork;171630
blueberries raw;171711
cranberries raw;171722
fish cisco raw;171953
popeyes biscuit;172086
dill weed fresh;172233
spearmint dried;172239
fish oil salmon;172343
bagels oat bran;172666
cookies fortune;172722
emu ground raw;172832
emu oyster raw;172838
olive loaf pork;172926
pastrami turkey;172927
cheese cheshire;173415
egg yolk dried;173428
spearmint fresh;173475
ham salad spread;173866
bread rice bran;174923
fish tuna salad;175160
strawberries raw;167762
candies caramels;167974
syrups grenadine;168088
pears asian raw;168177
grape leaves raw;168575
wasabi root raw;168583
marmalade orange;168819
rye flour medium;168886
wheat germ crude;168892
wild rice cooked;168897
rice flour brown;168898
corn grain white;168920
applebee's chili;169018
denny's coleslaw;169023
pomegranates raw;169134
fennel bulb raw;169385
wheat hard white;169719
wheat soft white;169720
wheat bran crude;169722
barley malt flour;169740
rice noodles dry;169742
chicken meatless;169886
eggplant pickled;169892
oheloberries raw;169915
burdock root raw;169974
cabbage red raw;169977
chard swiss raw;169991
nuts acorns raw;170157
candies tamarind;170281
taco bell nachos;170336
butterbur canned;170387
cheese provolone;170850
whey acid fluid;170885
spices dill seed;170925
babyfood cookies;170975
cheese limburger;171243
cheese roquefort;171250
whey acid dried;171281
oil cocoa butter;171421
gravy brown dry;171565
elderberries raw;171727
fish burbot raw;171950
popeyes coleslaw;172087
cheese camembert;172178
egg whole dried;172188
egg white dried;172204
vinegar red wine;172240
vinegar balsamic;172241
fish oil herring;172340
goose liver raw;172415
cookies fig bars;172721
cookies molasses;172724
muffins oat bran;172769
luxury loaf pork;172931
frankfurter pork;172964
frankfurter meat;172968
gooseberries raw;173030
sour cream light;173443
peppermint fresh;173474
fish oil sardine;173578
silk nog soymilk;173775
blackberries raw;173946
sausage meatless;174269
lamb ground raw;174370
ostrich fan raw;174483
liverwurst spread;174596
roast beef spread;174597
croissants apple;174988
veal ground raw;175290
bread white wheat;167532
turtle green raw;167745
prickly pears raw;167750
sapote mamey raw;167760
cherry juice tart;167807
vital wheat gluten;168147
cress garden raw;168407
jute potherb raw;168419
seaweed kelp raw;168457
carrots baby raw;168568
syrups corn dark;168836
snacks corn cakes;168857
snacks taro chips;168865
vegetarian fillets;169068
bamboo shoots raw;169210
yardlong bean raw;169222
lambsquarters raw;169244
seaweed agar raw;169280
catsup low sodium;169381
jams and preserves;169641
sugars granulated;169655
semolina enriched;169715
syrups sugar free;169878
chicory roots raw;169993
onions welsh raw;170007
onions sweet raw;170008
turnip greens raw;170061
